Chromosome name,Chromosome length,Chromosome length (without N)
"fa9ad683-35c5-4dad-a3af-de7a86b1ffa8",3660,3660
"a403a23e-20e7-43f7-a5fa-dae8ebc59a01",2365,2365
"ae3ab29f-07ae-4476-85eb-b212d69ce732",4941,4941
"88b1797f-3a41-442f-bab4-cdfedf7ec597",8486,8486
"c2cfeb47-1930-4486-ba44-fb1f43519806",2045,2045
"1c935ec4-4503-44ea-be57-7201fc03eeb6",10879,10879
"756abc44-d69f-46e2-8464-2f309b147a27",4303,4303
"6ffbbdea-7881-4ec3-b14a-e5a0c37c056d",4674,4674
"adeedf44-dbc5-401b-8b3c-07c944e12deb",6345,6345
"c75c8f96-eb4b-4465-9d43-024209a6a35a",1237,1237
"40aac17d-56a6-44db-934d-c0dbb853e2cd",5023,5023
"1d5ccec9-296a-4afd-ad74-010ebd3732ec",7297,7297
"690186f5-a384-40a4-8aae-9a99ad2322f5",3813,3813
"c7937d7b-d85f-433b-9327-7eb293974905",6626,6626
"c65d1bb9-c11b-4d4e-bba5-c821e0eb7758",1607,1607
"0d624d4b-671f-40b8-9798-84f2ccc4d7fc",3748,3748
"d4402dd6-1f80-4d82-9ce1-f4e7326e5054",5511,5511
"723b3ed8-ede7-42bd-89c3-d269619eea3d",9727,9727
"98eef8ef-3499-4c27-9191-9420b864869c",4206,4206
"0a238451-b9ed-446d-a152-badd074006c4",9512,9512
"ac1527fd-d73e-4721-95f5-b7d270cae783",4621,4621
"2a021335-d1c5-4881-93fc-a673d8960075",5964,5964
"8b55f8dd-3fcb-478c-8384-6df32ed6400b",5296,5296
"f163818d-019b-4937-b07d-023528a6cbea",1694,1694
"fb405411-031d-4447-8096-b603693b1fe7",8238,8238
"5e348aa0-252a-4ba2-b659-f460207d0f86",3616,3616
"f3bfcfc6-b5f3-4573-a280-2718d104f8d4",6326,6326
"3221ccdb-0395-4983-8a44-e5558664096f",12618,12618
"71408c92-f605-49e0-9230-1809837ae8c8",6620,6620
"67ee25a0-86c1-44be-9b64-5a0db853eaf2",6846,6846
"ce4d48fa-9112-4aa8-b655-10c5064129db",5801,5801
"3048e786-5b3d-4587-b5d0-714b40192268",6628,6628
"d7bbdb5c-225f-4910-a264-6444e1ace544",3047,3047
"c39789a3-7c1c-4b1e-bc6d-dc0df49e969c",6934,6934
"9388888e-4344-4e51-a44c-54c3b3c62b8b",8144,8144
"c30b48fc-11eb-4d3d-9c89-58ad29b2631d",4109,4109
