chromosome_name,chromosome_length_with_N,chromosome_length_without_N
d1ecaa6c-a911-4cd4-86ab-f16ed29ddfde,7770,7770
380cc868-0f9e-478b-b1df-70cbe6602339,7681,7681
2c468ad4-194a-4af0-93d4-3fcbe17a9be7,5263,5263
a46ed4fe-5181-4a9d-ad1a-9e7ac83a0f95,3943,3943
2c469631-125c-4046-b1c0-677322b0f3a3,549,549
